id,title,division,conference,wins,loses,rank
1,Atlanta Hawks,Southeast,Eastern,48,34,2
2,Boston Celtics,Atlantic,Eastern,48,34,2
3,Brooklyn Nets,Atlantic,Eastern,21,61,4
4,Charlotte Hornets,Southeast,Eastern,48,34,3
5,Chicago Bulls,Central,Eastern,42,40,4
6,Cleveland Cavaliers,Central,Eastern,57,25,1
7,Dallas Mavericks,Southwest,Western,42,40,2
8,Denver Nuggets,Northwest,Western,33,49,4
9,Detroit Pistons,Central,Eastern,44,38,3
10,Golden State Warriors,Pacific,Western,73,9,1
11,Houston Rockets,Southwest,Western,41,41,4
12,Indiana Pacers,Central,Eastern,45,37,2
13,Los Angeles Clippers,Pacific,Western,53,29,2
14,Los Angeles Lakers,Pacific,Western,17,65,5
15,Memphis Grizzlies,Southwest,Western,42,40,3
16,Miami Heat,Southeast,Eastern,48,34,1
17,Milwaukee Bucks,Central,Eastern,33,49,5
18,Minnesota Timberwolves,Northwest,Western,29,53,5
19,New Orleans Pelicans,Southwest,Western,30,52,5
20,New York Knicks,Atlantic,Eastern,32,50,3
21,Oklahoma City Thunder,Northwest,Western,55,27,1
22,Orlando Magic,Southeast,Eastern,35,47,5
23,Philadelphia 76ers,Atlantic,Eastern,10,72,5
24,Phoenix Suns,Pacific,Western,23,59,4
25,Portland Trail Blazers,Northwest,Western,44,38,2
26,Sacramento Kings,Pacific,Western,33,49,3
27,San Antonio Spurs,Southwest,Western,67,15,1
28,Toronto Raptors,Atlantic,Eastern,56,26,1
29,Utah Jazz,Northwest,Western,40,42,3
30,Washington Wizards,Southeast,Eastern,41,41,4
